,,,,,x,y,z,dt
"7.32, 26.37, 1020.51, 02189.00","26.37, 1020.51, 02189.00","1020.51, 02189.00",,,7.32,26.37,1020.51,2189
"10.74, 31.25, 984.37, 02185.00","31.25, 984.37, 02185.00","984.37, 02185.00",,,10.74,31.25,984.37,2185
"0.00, -4.88, 1012.21, 02177.00","-4.88, 1012.21, 02177.00","1012.21, 02177.00",,,0,-4.88,1012.21,2177
"-4.39, 28.81, 1005.86, 02200.00","28.81, 1005.86, 02200.00","1005.86, 02200.00",,,-4.39,28.81,1005.86,2200
"10.74, 13.67, 1005.37, 02186.00","13.67, 1005.37, 02186.00","1005.37, 02186.00",,,10.74,13.67,1005.37,2186
"0.49, 23.93, 985.35, 02186.00","23.93, 985.35, 02186.00","985.35, 02186.00",,,0.49,23.93,985.35,2186
"-19.53, 17.58, 1023.44, 02201.00","17.58, 1023.44, 02201.00","1023.44, 02201.00",,,-19.53,17.58,1023.44,2201
"2.93, 19.53, 1007.81, 02189.00","19.53, 1007.81, 02189.00","1007.81, 02189.00",,,2.93,19.53,1007.81,2189
"17.09, 14.65, 1012.70, 02181.00","14.65, 1012.70, 02181.00","1012.70, 02181.00",,,17.09,14.65,1012.7,2181
"0.49, 18.55, 1000.98, 02186.00","18.55, 1000.98, 02186.00","1000.98, 02186.00",,,0.49,18.55,1000.98,2186
"-7.32, 18.55, 1008.79, 02200.00","18.55, 1008.79, 02200.00","1008.79, 02200.00",,,-7.32,18.55,1008.79,2200
"-4.39, 7.81, 1012.70, 02195.00","7.81, 1012.70, 02195.00","1012.70, 02195.00",,,-4.39,7.81,1012.7,2195
"18.07, 15.63, 1013.18, 02184.00","15.63, 1013.18, 02184.00","1013.18, 02184.00",,,18.07,15.63,1013.18,2184
"8.30, 13.18, 1003.91, 02186.00","13.18, 1003.91, 02186.00","1003.91, 02186.00",,,8.3,13.18,1003.91,2186
"3.42, 3.42, 1004.88, 02188.00","3.42, 1004.88, 02188.00","1004.88, 02188.00",,,3.42,3.42,1004.88,2188
"1.46, 34.67, 1006.84, 02189.00","34.67, 1006.84, 02189.00","1006.84, 02189.00",,,1.46,34.67,1006.84,2189
"21.48, 6.35, 992.68, 02184.00","6.35, 992.68, 02184.00","992.68, 02184.00",,,21.48,6.35,992.68,2184
"10.74, 14.16, 1005.37, 02186.00","14.16, 1005.37, 02186.00","1005.37, 02186.00",,,10.74,14.16,1005.37,2186
"-2.93, 18.55, 1010.74, 02200.00","18.55, 1010.74, 02200.00","1010.74, 02200.00",,,-2.93,18.55,1010.74,2200
"-6.35, 19.53, 999.51, 02198.00","19.53, 999.51, 02198.00","999.51, 02198.00",,,-6.35,19.53,999.51,2198
"-0.49, 19.53, 995.61, 02194.00","19.53, 995.61, 02194.00","995.61, 02194.00",,,-0.49,19.53,995.61,2194
"0.49, 15.63, 1005.37, 02187.00","15.63, 1005.37, 02187.00","1005.37, 02187.00",,,0.49,15.63,1005.37,2187
"-14.65, 17.58, 1007.81, 02200.00","17.58, 1007.81, 02200.00","1007.81, 02200.00",,,-14.65,17.58,1007.81,2200
"6.35, 7.32, 1004.39, 02188.00","7.32, 1004.39, 02188.00","1004.39, 02188.00",,,6.35,7.32,1004.39,2188
"-7.32, 27.83, 1011.23, 02200.00","27.83, 1011.23, 02200.00","1011.23, 02200.00",,,-7.32,27.83,1011.23,2200
"-8.79, 19.53, 1004.39, 02199.00","19.53, 1004.39, 02199.00","1004.39, 02199.00",,,-8.79,19.53,1004.39,2199
"-4.39, 21.00, 1012.70, 02192.00","21.00, 1012.70, 02192.00","1012.70, 02192.00",,,-4.39,21,1012.7,2192
"8.30, 20.02, 1010.25, 02184.00","20.02, 1010.25, 02184.00","1010.25, 02184.00",,,8.3,20.02,1010.25,2184
"16.11, 26.86, 993.65, 02185.00","26.86, 993.65, 02185.00","993.65, 02185.00",,,16.11,26.86,993.65,2185
"7.32, 33.20, 1004.39, 02186.00","33.20, 1004.39, 02186.00","1004.39, 02186.00",,,7.32,33.2,1004.39,2186
"-4.88, 19.53, 1015.62, 02200.00","19.53, 1015.62, 02200.00","1015.62, 02200.00",,,-4.88,19.53,1015.62,2200
"5.86, 20.51, 1005.86, 02189.00","20.51, 1005.86, 02189.00","1005.86, 02189.00",,,5.86,20.51,1005.86,2189
"14.65, 24.41, 1010.25, 02186.00","24.41, 1010.25, 02186.00","1010.25, 02186.00",,,14.65,24.41,1010.25,2186
"6.84, 21.00, 997.07, 02180.00","21.00, 997.07, 02180.00","997.07, 02180.00",,,6.84,21,997.07,2180
"6.35, 31.25, 993.16, 02188.00","31.25, 993.16, 02188.00","993.16, 02188.00",,,6.35,31.25,993.16,2188
