,,,,,,,,Time,ToF,Prox,Pitch,Roll,Yaw
"(13837802, 521, 9, -280.7994384765625, -128.84483337402344, 35.272090911865234)","13837802, 521, 9, -280.7994384765625, -128.84483337402344, 35.272090911865234)"," 521, 9, -280.7994384765625, -128.84483337402344, 35.272090911865234)"," 9, -280.7994384765625, -128.84483337402344, 35.272090911865234)"," -280.7994384765625, -128.84483337402344, 35.272090911865234)"," -128.84483337402344, 35.272090911865234)", 35.272090911865234),,13837802, 521, 9, -280.7994384765625, -128.84483337402344, 35.272090911865234
"(13844174, 521, 9, -195.95346069335938, -90.233154296875, 35.27134704589844)","13844174, 521, 9, -195.95346069335938, -90.233154296875, 35.27134704589844)"," 521, 9, -195.95346069335938, -90.233154296875, 35.27134704589844)"," 9, -195.95346069335938, -90.233154296875, 35.27134704589844)"," -195.95346069335938, -90.233154296875, 35.27134704589844)"," -90.233154296875, 35.27134704589844)", 35.27134704589844),,13844174, 521, 9, -195.95346069335938, -90.233154296875, 35.27134704589844
"(13850414, 521, 9, -136.25674438476562, -63.14008331298828, 35.29557418823242)","13850414, 521, 9, -136.25674438476562, -63.14008331298828, 35.29557418823242)"," 521, 9, -136.25674438476562, -63.14008331298828, 35.29557418823242)"," 9, -136.25674438476562, -63.14008331298828, 35.29557418823242)"," -136.25674438476562, -63.14008331298828, 35.29557418823242)"," -63.14008331298828, 35.29557418823242)", 35.29557418823242),,13850414, 521, 9, -136.25674438476562, -63.14008331298828, 35.29557418823242
"(13856400, 521, 9, -94.26260375976562, -44.13671112060547, 35.27495574951172)","13856400, 521, 9, -94.26260375976562, -44.13671112060547, 35.27495574951172)"," 521, 9, -94.26260375976562, -44.13671112060547, 35.27495574951172)"," 9, -94.26260375976562, -44.13671112060547, 35.27495574951172)"," -94.26260375976562, -44.13671112060547, 35.27495574951172)"," -44.13671112060547, 35.27495574951172)", 35.27495574951172),,13856400, 521, 9, -94.26260375976562, -44.13671112060547, 35.27495574951172
"(13863621, 524, 9, -64.73527526855469, -30.81318473815918, 35.263938903808594)","13863621, 524, 9, -64.73527526855469, -30.81318473815918, 35.263938903808594)"," 524, 9, -64.73527526855469, -30.81318473815918, 35.263938903808594)"," 9, -64.73527526855469, -30.81318473815918, 35.263938903808594)"," -64.73527526855469, -30.81318473815918, 35.263938903808594)"," -30.81318473815918, 35.263938903808594)", 35.263938903808594),,13863621, 524, 9, -64.73527526855469, -30.81318473815918, 35.263938903808594
"(13933861, 522, 9, -45.198707580566406, -22.146203994750977, 35.33405685424805)","13933861, 522, 9, -45.198707580566406, -22.146203994750977, 35.33405685424805)"," 522, 9, -45.198707580566406, -22.146203994750977, 35.33405685424805)"," 9, -45.198707580566406, -22.146203994750977, 35.33405685424805)"," -45.198707580566406, -22.146203994750977, 35.33405685424805)"," -22.146203994750977, 35.33405685424805)", 35.33405685424805),,13933861, 522, 9, -45.198707580566406, -22.146203994750977, 35.33405685424805
"(14011954, 521, 8, -31.590011596679688, -16.085792541503906, 35.49201583862305)","14011954, 521, 8, -31.590011596679688, -16.085792541503906, 35.49201583862305)"," 521, 8, -31.590011596679688, -16.085792541503906, 35.49201583862305)"," 8, -31.590011596679688, -16.085792541503906, 35.49201583862305)"," -31.590011596679688, -16.085792541503906, 35.49201583862305)"," -16.085792541503906, 35.49201583862305)", 35.49201583862305),,14011954, 521, 8, -31.590011596679688, -16.085792541503906, 35.49201583862305
"(14090049, 522, 9, -21.95353889465332, -11.816000938415527, 35.38292694091797)","14090049, 522, 9, -21.95353889465332, -11.816000938415527, 35.38292694091797)"," 522, 9, -21.95353889465332, -11.816000938415527, 35.38292694091797)"," 9, -21.95353889465332, -11.816000938415527, 35.38292694091797)"," -21.95353889465332, -11.816000938415527, 35.38292694091797)"," -11.816000938415527, 35.38292694091797)", 35.38292694091797),,14090049, 522, 9, -21.95353889465332, -11.816000938415527, 35.38292694091797
"(14168093, 523, 8, -15.123749732971191, -8.772021293640137, 35.19158935546875)","14168093, 523, 8, -15.123749732971191, -8.772021293640137, 35.19158935546875)"," 523, 8, -15.123749732971191, -8.772021293640137, 35.19158935546875)"," 8, -15.123749732971191, -8.772021293640137, 35.19158935546875)"," -15.123749732971191, -8.772021293640137, 35.19158935546875)"," -8.772021293640137, 35.19158935546875)", 35.19158935546875),,14168093, 523, 8, -15.123749732971191, -8.772021293640137, 35.19158935546875
"(14246063, 522, 9, -10.29238510131836, -6.65576171875, 35.38627243041992)","14246063, 522, 9, -10.29238510131836, -6.65576171875, 35.38627243041992)"," 522, 9, -10.29238510131836, -6.65576171875, 35.38627243041992)"," 9, -10.29238510131836, -6.65576171875, 35.38627243041992)"," -10.29238510131836, -6.65576171875, 35.38627243041992)"," -6.65576171875, 35.38627243041992)", 35.38627243041992),,14246063, 522, 9, -10.29238510131836, -6.65576171875, 35.38627243041992
